p,n,benchid,solverid,result,time,timeout
3,360,1815,6,0,1197.1,1200
3,360,1815,7,20,347.54,1200
3,360,1815,8,20,415.44,1200
3,360,1815,9,20,395.47,1200
3,360,1815,15,0,1200,1200
3,360,1815,16,0,1197.06,1200
3,360,1815,17,0,1196.91,1200
3,360,1815,18,0,1200,1200
3,360,1815,19,0,1200,1200
3,360,1815,20,0,0.35,1200
3,360,1815,21,0,1200,1200
3,360,1815,22,0,1200,1200
3,360,1815,24,0,9.94,1200
3,360,1815,25,0,1200,1200
3,360,1815,26,0,1200,1200
3,360,1815,27,0,1200,1200
3,360,1815,28,0,1200,1200
3,360,1815,31,0,1200,1200
3,360,1815,32,0,1200,1200
3,360,1815,33,0,1200,1200
3,360,1815,34,0,1200,1200
3,360,1815,36,0,1200,1200
3,360,1815,37,0,1200,1200
3,360,1815,38,0,1200,1200
3,360,1815,39,0,1200,1200
3,360,1815,40,0,1196.9,1200
3,360,1815,41,20,32.88,1200
3,360,1815,42,0,1200,1200
3,360,1816,1,10,0.59,1200
3,360,1816,2,0,1200.75,1200
3,360,1816,3,0,1200.72,1200
3,360,1816,4,10,737.69,1200
3,360,1816,5,10,319.89,1200
3,360,1816,6,10,79.15,1200
3,360,1816,7,10,0.77,1200
3,360,1816,8,10,3.39,1200
3,360,1816,9,10,3.16,1200
3,360,1816,15,10,0.01,1200
3,360,1816,16,0,1196.92,1200
3,360,1816,17,10,384.56,1200
3,360,1816,18,10,0.02,1200
3,360,1816,19,10,0.02,1200
3,360,1816,20,10,0.02,1200
3,360,1816,21,10,259.11,1200
3,360,1816,22,0,1200,1200
3,360,1816,24,0,9.95,1200
3,360,1816,25,10,2.63,1200
3,360,1816,26,10,3.84,1200
3,360,1816,27,10,0.13,1200
3,360,1816,28,10,0.12,1200
3,360,1816,31,10,0.13,1200
3,360,1816,32,10,0.41,1200
3,360,1816,33,10,3.78,1200
3,360,1816,34,10,5.12,1200
3,360,1816,36,0,1200,1200
3,360,1816,37,10,54.16,1200
3,360,1816,38,10,77.66,1200
3,360,1816,39,10,0.23,1200
3,360,1816,40,10,321.65,1200
3,360,1816,41,10,0.04,1200
3,360,1816,42,10,0.01,1200
3,360,1817,1,0,1200,1200
3,360,1817,2,0,1200.73,1200
3,360,1817,3,0,1200.63,1200
3,360,1817,4,0,1200.73,1200
3,360,1817,5,0,1200,1200
3,360,1817,6,0,1196.98,1200
3,360,1817,7,20,157.48,1200
3,360,1817,8,20,195.48,1200
3,360,1817,9,20,184.47,1200
3,360,1817,15,0,1200,1200
3,360,1817,16,0,1196.74,1200
3,360,1817,17,0,1197.38,1200
3,360,1817,18,0,1200,1200
3,360,1817,19,0,1200,1200
3,360,1817,20,0,1.16,1200
3,360,1817,21,0,1200,1200
3,360,1817,22,0,1200,1200
3,360,1817,24,0,9.9,1200
3,360,1817,25,0,1200,1200
3,360,1817,26,20,686.05,1200
3,360,1817,27,0,1200,1200
3,360,1817,28,0,1200,1200
3,360,1817,31,0,1200,1200
3,360,1817,32,0,1200,1200
3,360,1817,33,0,1200,1200
3,360,1817,34,0,1200,1200
3,360,1817,36,0,1200,1200
3,360,1817,37,0,1200,1200
3,360,1817,38,20,911.11,1200
3,360,1817,39,0,1200,1200
3,360,1817,40,0,1194.3,1200
3,360,1817,41,20,22.47,1200
3,360,1817,42,0,1200,1200
3,360,1818,1,10,6.13,1200
3,360,1818,2,0,1200.62,1200
3,360,1818,3,0,1200.63,1200
3,360,1818,4,0,1200.84,1200
3,360,1818,5,0,1200,1200
3,360,1818,6,0,1196.64,1200
3,360,1818,7,10,103.3,1200
3,360,1818,8,10,6.81,1200
3,360,1818,9,10,6.37,1200
3,360,1818,15,10,0.01,1200
3,360,1818,16,0,1197.44,1200
3,360,1818,17,0,1197.08,1200
3,360,1818,18,10,127.55,1200
3,360,1818,19,10,52.74,1200
3,360,1818,20,0,0.69,1200
3,360,1818,21,0,1200,1200
3,360,1818,22,0,1200,1200
3,360,1818,24,0,0.01,1200
3,360,1818,25,10,97.16,1200
3,360,1818,26,10,68.74,1200
3,360,1818,27,10,0.24,1200
3,360,1818,28,10,0.04,1200
3,360,1818,31,10,0.04,1200
3,360,1818,32,10,5.43,1200
3,360,1818,33,10,937.06,1200
3,360,1818,34,10,33.93,1200
3,360,1818,36,0,1200,1200
3,360,1818,37,10,318.68,1200
3,360,1818,38,10,6.36,1200
3,360,1818,39,0,1200,1200
3,360,1818,40,0,1196.58,1200
3,360,1818,41,10,0.09,1200
3,360,1818,42,10,0.02,1200
3,360,1819,1,0,1200,1200
3,360,1819,2,0,1200.57,1200
3,360,1819,3,0,1200.72,1200
3,360,1819,4,0,1200.65,1200
3,360,1819,5,0,1200,1200
3,360,1819,6,0,1197.07,1200
3,360,1819,7,20,230.2,1200
3,360,1819,8,20,277.83,1200
3,360,1819,9,20,259.34,1200
3,360,1819,15,0,1200,1200
3,360,1819,16,0,1196.8,1200
3,360,1819,17,0,1196.66,1200
3,360,1819,18,0,1200,1200
3,360,1819,19,0,1200,1200
3,360,1819,20,0,0.67,1200
3,360,1819,21,0,1200,1200
3,360,1819,22,0,1200,1200
3,360,1819,24,0,9.93,1200
3,360,1819,25,0,1200,1200
3,360,1819,26,20,1130.04,1200
3,360,1819,27,0,1200,1200
3,360,1819,28,0,1200,1200
3,360,1819,31,0,1200,1200
3,360,1819,32,0,1200,1200
3,360,1819,33,0,1200,1200
3,360,1819,34,0,1200,1200
3,360,1819,36,0,1200,1200
3,360,1819,37,0,1200,1200
3,360,1819,38,20,1200.1,1200
3,360,1819,39,0,1200,1200
3,360,1819,40,0,1196.75,1200
3,360,1819,41,20,29.55,1200
3,360,1819,42,0,1200,1200
3,360,1820,1,0,1200,1200
3,360,1820,2,0,1200.65,1200
3,360,1820,3,0,1200.85,1200
3,360,1820,4,0,1200.66,1200
3,360,1820,5,0,1200,1200
3,360,1820,6,0,1196.89,1200
3,360,1820,7,20,144.86,1200
3,360,1820,8,20,161.54,1200
3,360,1820,9,20,150.95,1200
3,360,1820,15,0,1200,1200
3,360,1820,16,0,1182.47,1200
3,360,1820,17,0,1197.49,1200
3,360,1820,18,0,1200,1200
3,360,1820,19,0,1200,1200
3,360,1820,20,0,1.72,1200
3,360,1820,21,0,1200,1200
3,360,1820,22,0,1200,1200
3,360,1820,24,0,9.94,1200
3,360,1820,25,0,1200,1200
3,360,1820,26,20,508.55,1200
3,360,1820,27,0,1200,1200
3,360,1820,28,0,1200,1200
3,360,1820,31,0,1200,1200
3,360,1820,32,0,1200,1200
3,360,1820,33,0,1200,1200
3,360,1820,34,20,473.61,1200
3,360,1820,36,0,1200,1200
3,360,1820,37,0,1200,1200
3,360,1820,38,20,741.82,1200
3,360,1820,39,0,1200,1200
3,360,1820,40,0,1196.96,1200
3,360,1820,41,20,14.35,1200
3,360,1820,42,0,1200,1200
3,360,1821,1,10,50.87,1200
3,360,1821,2,0,1200.97,1200
3,360,1821,3,0,1200.9,1200
3,360,1821,4,0,1200.75,1200
3,360,1821,5,0,1200,1200
3,360,1821,6,0,1197.11,1200
3,360,1821,7,10,50.22,1200
3,360,1821,8,10,132.38,1200
3,360,1821,9,10,123.22,1200
3,360,1821,15,10,1.63,1200
3,360,1821,16,0,1196.72,1200
3,360,1821,17,0,1196.64,1200
3,360,1821,18,10,508.72,1200
3,360,1821,19,10,509.03,1200
3,360,1821,20,0,0.68,1200
3,360,1821,21,0,1200,1200
3,360,1821,22,0,1200,1200
3,360,1821,24,0,9.95,1200
3,360,1821,25,0,1200,1200
3,360,1821,26,10,91.56,1200
3,360,1821,27,10,0.31,1200
3,360,1821,28,10,0.18,1200
3,360,1821,31,10,0.48,1200
3,360,1821,32,10,63.3,1200
3,360,1821,33,0,1200,1200
3,360,1821,34,10,750.25,1200
3,360,1821,36,0,1200,1200
3,360,1821,37,0,1200,1200
3,360,1821,38,10,757.05,1200
3,360,1821,39,0,1200,1200
3,360,1821,40,0,1197.11,1200
3,360,1821,41,10,6.48,1200
3,360,1821,42,10,1.09,1200
3,400,1822,1,10,6.24,1200
3,400,1822,2,0,1200.96,1200
3,400,1822,3,0,1200.48,1200
3,400,1822,4,0,1200.62,1200
3,400,1822,5,0,1200,1200
3,400,1822,6,10,563.47,1200
3,400,1822,7,10,224.68,1200
3,400,1822,8,10,716.29,1200
3,400,1822,9,10,683.48,1200
3,400,1822,15,10,0.08,1200
3,400,1822,16,0,1196.56,1200
3,400,1822,17,0,1197.38,1200
3,400,1822,18,0,1200,1200
3,400,1822,19,0,1200,1200
3,400,1822,20,0,1.17,1200
3,400,1822,21,0,1200,1200
3,400,1822,22,0,1200,1200
3,400,1822,24,0,0,1200
3,400,1822,25,10,38.89,1200
3,400,1822,26,10,561.92,1200
3,400,1822,27,10,0.08,1200
3,400,1822,28,10,0.07,1200
3,400,1822,31,10,0.11,1200
3,400,1822,32,10,15.78,1200
3,400,1822,33,0,1200,1200
3,400,1822,34,10,312.35,1200
3,400,1822,36,0,1200,1200
3,400,1822,37,0,1200,1200
3,400,1822,38,10,50.16,1200
3,400,1822,39,0,1200,1200
3,400,1822,40,0,1197.26,1200
3,400,1822,41,10,5.16,1200
3,400,1822,42,10,0.63,1200
3,400,1823,1,0,1200,1200
3,400,1823,2,0,1200.36,1200
3,400,1823,3,0,1200.83,1200
3,400,1823,4,0,1200.6,1200
3,400,1823,5,0,1200,1200
3,400,1823,6,0,1196.44,1200
3,400,1823,7,20,607.61,1200
3,400,1823,8,20,564.16,1200
3,400,1823,9,20,539.84,1200
3,400,1823,15,0,1200,1200
3,400,1823,16,0,1196.33,1200
3,400,1823,17,0,1197.37,1200
3,400,1823,18,0,1200,1200
3,400,1823,19,0,1200,1200
3,400,1823,20,0,1.26,1200
3,400,1823,21,0,1200,1200
3,400,1823,22,0,1200,1200
3,400,1823,24,0,9.87,1200
3,400,1823,25,0,1200,1200
3,400,1823,26,0,1200,1200
3,400,1823,27,0,1200,1200
3,400,1823,28,0,1200,1200
3,400,1823,31,0,1200,1200
3,400,1823,32,0,1200,1200
3,400,1823,33,0,1200,1200
3,400,1823,34,0,1200,1200
3,400,1823,36,0,1200,1200
3,400,1823,37,0,1200,1200
3,400,1823,38,0,1200,1200
3,400,1823,39,0,1200,1200
3,400,1823,40,0,1197.03,1200
3,400,1823,41,20,48.08,1200
3,400,1823,42,0,1200,1200
3,400,1824,1,0,1200,1200
3,400,1824,2,0,1200.58,1200
3,400,1824,3,0,1200.45,1200
3,400,1824,4,0,1200.85,1200
3,400,1824,5,0,1200,1200
3,400,1824,6,0,1196.26,1200
3,400,1824,7,20,1187.9,1200
3,400,1824,8,0,1200,1200
3,400,1824,9,20,1184.71,1200
3,400,1824,15,0,1200,1200
3,400,1824,16,0,1197.47,1200
3,400,1824,17,0,1196.68,1200
3,400,1824,18,0,1200,1200
3,400,1824,19,0,1200,1200
3,400,1824,20,0,0.74,1200
3,400,1824,21,0,1200,1200
3,400,1824,22,0,1200,1200
3,400,1824,24,0,0.01,1200
3,400,1824,25,0,1200,1200
3,400,1824,26,0,1200,1200
3,400,1824,27,0,1200,1200
3,400,1824,28,0,1200,1200
3,400,1824,31,0,1200,1200
3,400,1824,32,0,1200,1200
3,400,1824,33,0,1200,1200
3,400,1824,34,0,1200,1200
3,400,1824,36,0,1200,1200
3,400,1824,37,0,1200,1200
3,400,1824,38,0,1200,1200
3,400,1824,39,0,1200,1200
3,400,1824,40,0,1196.57,1200
3,400,1824,41,20,91.57,1200
3,400,1824,42,0,1200,1200
3,400,1825,1,10,1,1200
3,400,1825,2,0,1200.56,1200
3,400,1825,3,0,1200.53,1200
3,400,1825,4,0,1200.69,1200
3,400,1825,5,0,1200,1200
3,400,1825,6,10,0.57,1200
3,400,1825,7,10,0.08,1200
3,400,1825,8,10,138.51,1200
3,400,1825,9,10,132.38,1200
3,400,1825,15,10,0.01,1200
3,400,1825,16,0,1196.79,1200
3,400,1825,17,0,1194.81,1200
3,400,1825,18,10,0.11,1200
3,400,1825,19,10,0.13,1200
3,400,1825,20,10,0.13,1200
3,400,1825,21,0,1200,1200
3,400,1825,22,10,0.02,1200
3,400,1825,24,0,9.95,1200
3,400,1825,25,10,120.41,1200
3,400,1825,26,10,1.37,1200
